,Company,Availble Jobs,Average Salary,Rating,Total Reviews
354,Concentrix Corporation,73,1.3L,3.6,(31.3k)
355,Amazon,1.4k,1.4L,3.9,(30.4k)
356,iEnergizer,72,23.9k,4.6,(27.3k)
357,Reliance Retail,33,74.3k,3.9,(26.8k)
358,IBM,2.6k,2.1L,3.9,(25.2k)
359,LTIMindtree,474,1.9L,3.6,(25.2k)
360,TCS,3k,9.6L,3.4,(1.1L)
361,Accenture,32.5k,6.4L,3.7,(70.5k)
362,Wipro,5.6k,4.7L,3.6,(62.6k)
363,Cognizant,836,5.9L,3.6,(59.5k)
364,Capgemini,2.1k,4.7L,3.7,(51.1k)
365,HDFC Bank,198,1.5L,3.8,(50k)
366,Infosys,2.9k,5.1L,3.5,(46.8k)
367,ICICI Bank,32,1.5L,4.0,(44.9k)
368,HCLTech,282,3.7L,3.4,(44k)
369,Tech Mahindra,432,2.8L,3.4,(42k)
370,Genpact,371,2.3L,3.6,(40.4k)
371,Teleperformance,850,95.1k,3.8,(36.2k)
372,Axis Bank,219,1L,3.6,(32k)
373,Jio,3,62.2k,4.3,(31.5k)
374,Concentrix Corporation,73,1.3L,3.6,(31.3k)
375,Amazon,1.4k,1.4L,3.9,(30.4k)
376,iEnergizer,72,23.9k,4.6,(27.3k)
377,Reliance Retail,33,74.3k,3.9,(26.8k)
378,IBM,2.6k,2.1L,3.9,(25.2k)
379,LTIMindtree,474,1.9L,3.6,(25.2k)
380,TCS,3k,9.6L,3.4,(1.1L)
381,Accenture,32.5k,6.4L,3.7,(70.5k)
382,Wipro,5.6k,4.7L,3.6,(62.6k)
383,Cognizant,836,5.9L,3.6,(59.5k)
384,Capgemini,2.1k,4.7L,3.7,(51.1k)
385,HDFC Bank,198,1.5L,3.8,(50k)
386,Infosys,2.9k,5.1L,3.5,(46.8k)
387,ICICI Bank,32,1.5L,4.0,(44.9k)
388,HCLTech,282,3.7L,3.4,(44k)
389,Tech Mahindra,432,2.8L,3.4,(42k)
390,Genpact,371,2.3L,3.6,(40.4k)
391,Teleperformance,850,95.1k,3.8,(36.2k)
392,Axis Bank,219,1L,3.6,(32k)
