,Company,Availble Jobs,Average Salary,Rating,Total Reviews
744,Capgemini,2.1k,4.7L,3.7,(51.1k)
745,HDFC Bank,198,1.5L,3.8,(50k)
746,Infosys,2.9k,5.1L,3.5,(46.8k)
747,ICICI Bank,32,1.5L,4.0,(44.9k)
748,HCLTech,282,3.7L,3.4,(44k)
749,Tech Mahindra,432,2.8L,3.4,(42k)
750,Genpact,371,2.3L,3.6,(40.4k)
751,Teleperformance,850,95.1k,3.8,(36.2k)
752,Axis Bank,219,1L,3.6,(32k)
753,Jio,3,62.2k,4.3,(31.5k)
754,Concentrix Corporation,73,1.3L,3.6,(31.3k)
755,Amazon,1.4k,1.4L,3.9,(30.4k)
756,iEnergizer,72,23.9k,4.6,(27.3k)
757,Reliance Retail,33,74.3k,3.9,(26.8k)
758,IBM,2.6k,2.1L,3.9,(25.2k)
759,LTIMindtree,474,1.9L,3.6,(25.2k)
760,TCS,3k,9.6L,3.4,(1.1L)
761,Accenture,32.5k,6.4L,3.7,(70.5k)
762,Wipro,5.6k,4.7L,3.6,(62.6k)
763,Cognizant,836,5.9L,3.6,(59.5k)
764,Capgemini,2.1k,4.7L,3.7,(51.1k)
765,HDFC Bank,198,1.5L,3.8,(50k)
766,Infosys,2.9k,5.1L,3.5,(46.8k)
767,ICICI Bank,32,1.5L,4.0,(44.9k)
768,HCLTech,282,3.7L,3.4,(44k)
769,Tech Mahindra,432,2.8L,3.4,(42k)
770,Genpact,371,2.3L,3.6,(40.4k)
771,Teleperformance,850,95.1k,3.8,(36.2k)
772,Axis Bank,219,1L,3.6,(32k)
773,Jio,3,62.2k,4.3,(31.5k)
774,Concentrix Corporation,73,1.3L,3.6,(31.3k)
775,Amazon,1.4k,1.4L,3.9,(30.4k)
776,iEnergizer,72,23.9k,4.6,(27.3k)
777,Reliance Retail,33,74.3k,3.9,(26.8k)
778,IBM,2.6k,2.1L,3.9,(25.2k)
779,LTIMindtree,474,1.9L,3.6,(25.2k)
780,TCS,3k,9.6L,3.4,(1.1L)
781,Accenture,32.5k,6.4L,3.7,(70.5k)
782,Wipro,5.6k,4.7L,3.6,(62.6k)
783,Cognizant,836,5.9L,3.6,(59.5k)
784,Capgemini,2.1k,4.7L,3.7,(51.1k)
785,HDFC Bank,198,1.5L,3.8,(50k)
786,Infosys,2.9k,5.1L,3.5,(46.8k)
787,ICICI Bank,32,1.5L,4.0,(44.9k)
788,HCLTech,282,3.7L,3.4,(44k)
789,Tech Mahindra,432,2.8L,3.4,(42k)
790,Genpact,371,2.3L,3.6,(40.4k)
791,Teleperformance,850,95.1k,3.8,(36.2k)
792,Axis Bank,219,1L,3.6,(32k)
793,Jio,3,62.2k,4.3,(31.5k)
794,Concentrix Corporation,73,1.3L,3.6,(31.3k)
795,Amazon,1.4k,1.4L,3.9,(30.4k)
796,iEnergizer,72,23.9k,4.6,(27.3k)
797,Reliance Retail,33,74.3k,3.9,(26.8k)
798,IBM,2.6k,2.1L,3.9,(25.2k)
799,LTIMindtree,474,1.9L,3.6,(25.2k)
800,TCS,3k,9.6L,3.4,(1.1L)
801,Accenture,32.5k,6.4L,3.7,(70.5k)
802,Wipro,5.6k,4.7L,3.6,(62.6k)
803,Cognizant,836,5.9L,3.6,(59.5k)
804,Capgemini,2.1k,4.7L,3.7,(51.1k)
805,HDFC Bank,198,1.5L,3.8,(50k)
806,Infosys,2.9k,5.1L,3.5,(46.8k)
807,ICICI Bank,32,1.5L,4.0,(44.9k)
808,HCLTech,282,3.7L,3.4,(44k)
809,Tech Mahindra,432,2.8L,3.4,(42k)
810,Genpact,371,2.3L,3.6,(40.4k)
811,Teleperformance,850,95.1k,3.8,(36.2k)
812,Axis Bank,219,1L,3.6,(32k)
813,Jio,3,62.2k,4.3,(31.5k)
814,Concentrix Corporation,73,1.3L,3.6,(31.3k)
815,Amazon,1.4k,1.4L,3.9,(30.4k)
816,iEnergizer,72,23.9k,4.6,(27.3k)
817,Reliance Retail,33,74.3k,3.9,(26.8k)
818,IBM,2.6k,2.1L,3.9,(25.2k)
819,LTIMindtree,474,1.9L,3.6,(25.2k)
820,TCS,3k,9.6L,3.4,(1.1L)
821,Accenture,32.5k,6.4L,3.7,(70.5k)
822,Wipro,5.6k,4.7L,3.6,(62.6k)
823,Cognizant,836,5.9L,3.6,(59.5k)
824,Capgemini,2.1k,4.7L,3.7,(51.1k)
825,HDFC Bank,198,1.5L,3.8,(50k)
826,Infosys,2.9k,5.1L,3.5,(46.8k)
827,ICICI Bank,32,1.5L,4.0,(44.9k)
828,HCLTech,282,3.7L,3.4,(44k)
829,Tech Mahindra,432,2.8L,3.4,(42k)
830,Genpact,371,2.3L,3.6,(40.4k)
831,Teleperformance,850,95.1k,3.8,(36.2k)
832,Axis Bank,219,1L,3.6,(32k)
833,Jio,3,62.2k,4.3,(31.5k)
834,Concentrix Corporation,73,1.3L,3.6,(31.3k)
835,Amazon,1.4k,1.4L,3.9,(30.4k)
836,iEnergizer,72,23.9k,4.6,(27.3k)
837,Reliance Retail,33,74.3k,3.9,(26.8k)
838,IBM,2.6k,2.1L,3.9,(25.2k)
839,LTIMindtree,474,1.9L,3.6,(25.2k)
840,TCS,3k,9.6L,3.4,(1.1L)
841,Accenture,32.5k,6.4L,3.7,(70.5k)
842,Wipro,5.6k,4.7L,3.6,(62.6k)
843,Cognizant,836,5.9L,3.6,(59.5k)
844,Capgemini,2.1k,4.7L,3.7,(51.1k)
845,HDFC Bank,198,1.5L,3.8,(50k)
846,Infosys,2.9k,5.1L,3.5,(46.8k)
847,ICICI Bank,32,1.5L,4.0,(44.9k)
848,HCLTech,282,3.7L,3.4,(44k)
849,Tech Mahindra,432,2.8L,3.4,(42k)
850,Genpact,371,2.3L,3.6,(40.4k)
851,Teleperformance,850,95.1k,3.8,(36.2k)
852,Axis Bank,219,1L,3.6,(32k)
853,Jio,3,62.2k,4.3,(31.5k)
854,Concentrix Corporation,73,1.3L,3.6,(31.3k)
855,Amazon,1.4k,1.4L,3.9,(30.4k)
856,iEnergizer,72,23.9k,4.6,(27.3k)
857,Reliance Retail,33,74.3k,3.9,(26.8k)
858,IBM,2.6k,2.1L,3.9,(25.2k)
859,LTIMindtree,474,1.9L,3.6,(25.2k)
860,TCS,3k,9.6L,3.4,(1.1L)
861,Accenture,32.5k,6.4L,3.7,(70.5k)
862,Wipro,5.6k,4.7L,3.6,(62.6k)
863,Cognizant,836,5.9L,3.6,(59.5k)
864,Capgemini,2.1k,4.7L,3.7,(51.1k)
865,HDFC Bank,198,1.5L,3.8,(50k)
866,Infosys,2.9k,5.1L,3.5,(46.8k)
867,ICICI Bank,32,1.5L,4.0,(44.9k)
868,HCLTech,282,3.7L,3.4,(44k)
869,Tech Mahindra,432,2.8L,3.4,(42k)
870,Genpact,371,2.3L,3.6,(40.4k)
871,Teleperformance,850,95.1k,3.8,(36.2k)
872,Axis Bank,219,1L,3.6,(32k)
873,Jio,3,62.2k,4.3,(31.5k)
874,Concentrix Corporation,73,1.3L,3.6,(31.3k)
875,Amazon,1.4k,1.4L,3.9,(30.4k)
876,iEnergizer,72,23.9k,4.6,(27.3k)
877,Reliance Retail,33,74.3k,3.9,(26.8k)
878,IBM,2.6k,2.1L,3.9,(25.2k)
879,LTIMindtree,474,1.9L,3.6,(25.2k)
880,TCS,3k,9.6L,3.4,(1.1L)
881,Accenture,32.5k,6.4L,3.7,(70.5k)
882,Wipro,5.6k,4.7L,3.6,(62.6k)
883,Cognizant,836,5.9L,3.6,(59.5k)
884,Capgemini,2.1k,4.7L,3.7,(51.1k)
885,HDFC Bank,198,1.5L,3.8,(50k)
886,Infosys,2.9k,5.1L,3.5,(46.8k)
887,ICICI Bank,32,1.5L,4.0,(44.9k)
888,HCLTech,282,3.7L,3.4,(44k)
889,Tech Mahindra,432,2.8L,3.4,(42k)
890,Genpact,371,2.3L,3.6,(40.4k)
891,Teleperformance,850,95.1k,3.8,(36.2k)
892,Axis Bank,219,1L,3.6,(32k)
893,Jio,3,62.2k,4.3,(31.5k)
894,Concentrix Corporation,73,1.3L,3.6,(31.3k)
895,Amazon,1.4k,1.4L,3.9,(30.4k)
896,iEnergizer,72,23.9k,4.6,(27.3k)
897,Reliance Retail,33,74.3k,3.9,(26.8k)
898,IBM,2.6k,2.1L,3.9,(25.2k)
899,LTIMindtree,474,1.9L,3.6,(25.2k)
900,TCS,3k,9.6L,3.4,(1.1L)
901,Accenture,32.5k,6.4L,3.7,(70.5k)
902,Wipro,5.6k,4.7L,3.6,(62.6k)
903,Cognizant,836,5.9L,3.6,(59.5k)
904,Capgemini,2.1k,4.7L,3.7,(51.1k)
905,HDFC Bank,198,1.5L,3.8,(50k)
906,Infosys,2.9k,5.1L,3.5,(46.8k)
907,ICICI Bank,32,1.5L,4.0,(44.9k)
908,HCLTech,282,3.7L,3.4,(44k)
909,Tech Mahindra,432,2.8L,3.4,(42k)
910,Genpact,371,2.3L,3.6,(40.4k)
911,Teleperformance,850,95.1k,3.8,(36.2k)
912,Axis Bank,219,1L,3.6,(32k)
913,Jio,3,62.2k,4.3,(31.5k)
914,Concentrix Corporation,73,1.3L,3.6,(31.3k)
915,Amazon,1.4k,1.4L,3.9,(30.4k)
916,iEnergizer,72,23.9k,4.6,(27.3k)
917,Reliance Retail,33,74.3k,3.9,(26.8k)
918,IBM,2.6k,2.1L,3.9,(25.2k)
919,LTIMindtree,474,1.9L,3.6,(25.2k)
920,TCS,3k,9.6L,3.4,(1.1L)
921,Accenture,32.5k,6.4L,3.7,(70.5k)
922,Wipro,5.6k,4.7L,3.6,(62.6k)
923,Cognizant,836,5.9L,3.6,(59.5k)
924,Capgemini,2.1k,4.7L,3.7,(51.1k)
925,HDFC Bank,198,1.5L,3.8,(50k)
926,Infosys,2.9k,5.1L,3.5,(46.8k)
927,ICICI Bank,32,1.5L,4.0,(44.9k)
928,HCLTech,282,3.7L,3.4,(44k)
929,Tech Mahindra,432,2.8L,3.4,(42k)
930,Genpact,371,2.3L,3.6,(40.4k)
931,Teleperformance,850,95.1k,3.8,(36.2k)
932,Axis Bank,219,1L,3.6,(32k)
933,Jio,3,62.2k,4.3,(31.5k)
934,Concentrix Corporation,73,1.3L,3.6,(31.3k)
935,Amazon,1.4k,1.4L,3.9,(30.4k)
936,iEnergizer,72,23.9k,4.6,(27.3k)
937,Reliance Retail,33,74.3k,3.9,(26.8k)
938,IBM,2.6k,2.1L,3.9,(25.2k)
939,LTIMindtree,474,1.9L,3.6,(25.2k)
940,TCS,3k,9.6L,3.4,(1.1L)
941,Accenture,32.5k,6.4L,3.7,(70.5k)
942,Wipro,5.6k,4.7L,3.6,(62.6k)
943,Cognizant,836,5.9L,3.6,(59.5k)
944,Capgemini,2.1k,4.7L,3.7,(51.1k)
945,HDFC Bank,198,1.5L,3.8,(50k)
946,Infosys,2.9k,5.1L,3.5,(46.8k)
947,ICICI Bank,32,1.5L,4.0,(44.9k)
948,HCLTech,282,3.7L,3.4,(44k)
949,Tech Mahindra,432,2.8L,3.4,(42k)
950,Genpact,371,2.3L,3.6,(40.4k)
951,Teleperformance,850,95.1k,3.8,(36.2k)
952,Axis Bank,219,1L,3.6,(32k)
953,Jio,3,62.2k,4.3,(31.5k)
954,Concentrix Corporation,73,1.3L,3.6,(31.3k)
955,Amazon,1.4k,1.4L,3.9,(30.4k)
956,iEnergizer,72,23.9k,4.6,(27.3k)
957,Reliance Retail,33,74.3k,3.9,(26.8k)
958,IBM,2.6k,2.1L,3.9,(25.2k)
959,LTIMindtree,474,1.9L,3.6,(25.2k)
960,TCS,3k,9.6L,3.4,(1.1L)
961,Accenture,32.5k,6.4L,3.7,(70.5k)
962,Wipro,5.6k,4.7L,3.6,(62.6k)
963,Cognizant,836,5.9L,3.6,(59.5k)
964,Capgemini,2.1k,4.7L,3.7,(51.1k)
965,HDFC Bank,198,1.5L,3.8,(50k)
966,Infosys,2.9k,5.1L,3.5,(46.8k)
967,ICICI Bank,32,1.5L,4.0,(44.9k)
968,HCLTech,282,3.7L,3.4,(44k)
969,Tech Mahindra,432,2.8L,3.4,(42k)
970,Genpact,371,2.3L,3.6,(40.4k)
971,Teleperformance,850,95.1k,3.8,(36.2k)
972,Axis Bank,219,1L,3.6,(32k)
973,Jio,3,62.2k,4.3,(31.5k)
974,Concentrix Corporation,73,1.3L,3.6,(31.3k)
975,Amazon,1.4k,1.4L,3.9,(30.4k)
976,iEnergizer,72,23.9k,4.6,(27.3k)
977,Reliance Retail,33,74.3k,3.9,(26.8k)
978,IBM,2.6k,2.1L,3.9,(25.2k)
979,LTIMindtree,474,1.9L,3.6,(25.2k)
